"Division","School","Year.Percent","Type"
"Norfolk City Public Schools","P.B. Young Sr. Elementary ",51,"Bachelor's Degree"
"Norfolk City Public Schools","P.B. Young Sr. Elementary ",42,"Master's Degree"
"Norfolk City Public Schools","P.B. Young Sr. Elementary ",5,"Doctoral Degree"
"Norfolk City Public Schools","Richard Bowling Elementary",43,"Bachelor's Degree"
"Norfolk City Public Schools","Richard Bowling Elementary",51,"Master's Degree"
"Norfolk City Public Schools","Richard Bowling Elementary",4,"Doctoral Degree"
"Norfolk City Public Schools","Sewells Point Elementary",42,"Bachelor's Degree"
"Norfolk City Public Schools","Sewells Point Elementary",52,"Master's Degree"
"Norfolk City Public Schools","Sewells Point Elementary",2,"Doctoral Degree"
"Norfolk City Public Schools","Sherwood Forest Elementary",46,"Bachelor's Degree"
"Norfolk City Public Schools","Sherwood Forest Elementary",42,"Master's Degree"
"Norfolk City Public Schools","Sherwood Forest Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Southside STEM Academy at Campostella ",44,"Bachelor's Degree"
"Norfolk City Public Schools","Southside STEM Academy at Campostella ",48,"Master's Degree"
"Norfolk City Public Schools","Southside STEM Academy at Campostella ",1,"Doctoral Degree"
"Norfolk City Public Schools","St. Helena Elementary",23,"Bachelor's Degree"
"Norfolk City Public Schools","St. Helena Elementary",69,"Master's Degree"
"Norfolk City Public Schools","St. Helena Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Suburban Park Elementary",36,"Bachelor's Degree"
"Norfolk City Public Schools","Suburban Park Elementary",61,"Master's Degree"
"Norfolk City Public Schools","Suburban Park Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Tanners Creek Elementary",43,"Bachelor's Degree"
"Norfolk City Public Schools","Tanners Creek Elementary",51,"Master's Degree"
"Norfolk City Public Schools","Tanners Creek Elementary",2,"Doctoral Degree"
"Norfolk City Public Schools","Tarrallton Elementary",41,"Bachelor's Degree"
"Norfolk City Public Schools","Tarrallton Elementary",47,"Master's Degree"
"Norfolk City Public Schools","Tarrallton Elementary",3,"Doctoral Degree"
"Norfolk City Public Schools","Tidewater Park Elementary",32,"Bachelor's Degree"
"Norfolk City Public Schools","Tidewater Park Elementary",54,"Master's Degree"
"Norfolk City Public Schools","Tidewater Park Elementary",8,"Doctoral Degree"
"Norfolk City Public Schools","Walter Herron Taylor Elementary",26,"Bachelor's Degree"
"Norfolk City Public Schools","Walter Herron Taylor Elementary",68,"Master's Degree"
"Norfolk City Public Schools","Walter Herron Taylor Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Willard Model Elementary",37,"Bachelor's Degree"
"Norfolk City Public Schools","Willard Model Elementary",57,"Master's Degree"
"Norfolk City Public Schools","Willard Model Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","William H. Ruffner Middle",47,"Bachelor's Degree"
"Norfolk City Public Schools","William H. Ruffner Middle",44,"Master's Degree"
"Norfolk City Public Schools","William H. Ruffner Middle",0,"Doctoral Degree"
"Northampton County Public Schools","Kiptopeke Elementary",65,"Bachelor's Degree"
"Northampton County Public Schools","Kiptopeke Elementary",33,"Master's Degree"
"Northampton County Public Schools","Kiptopeke Elementary",0,"Doctoral Degree"
"Northampton County Public Schools","Northampton High",56,"Bachelor's Degree"
"Northampton County Public Schools","Northampton High",35,"Master's Degree"
"Northampton County Public Schools","Northampton High",2,"Doctoral Degree"
"Northampton County Public Schools","Northampton Middle",70,"Bachelor's Degree"
"Northampton County Public Schools","Northampton Middle",27,"Master's Degree"
"Northampton County Public Schools","Northampton Middle",0,"Doctoral Degree"
"Northampton County Public Schools","Occohannock Elementary",62,"Bachelor's Degree"
"Northampton County Public Schools","Occohannock Elementary",38,"Master's Degree"
"Northampton County Public Schools","Occohannock Elementary",0,"Doctoral Degree"
"Northumberland County Public Schools","Northumberland Elementary",61,"Bachelor's Degree"
"Northumberland County Public Schools","Northumberland Elementary",37,"Master's Degree"
"Northumberland County Public Schools","Northumberland Elementary",0,"Doctoral Degree"
"Northumberland County Public Schools","Northumberland High",40,"Bachelor's Degree"
"Northumberland County Public Schools","Northumberland High",51,"Master's Degree"
"Northumberland County Public Schools","Northumberland High",5,"Doctoral Degree"
"Northumberland County Public Schools","Northumberland Middle",59,"Bachelor's Degree"
"Northumberland County Public Schools","Northumberland Middle",41,"Master's Degree"
"Northumberland County Public Schools","Northumberland Middle",0,"Doctoral Degree"
"Norton City Public Schools","J.I. Burton High ",59,"Bachelor's Degree"
"Norton City Public Schools","J.I. Burton High ",30,"Master's Degree"
"Norton City Public Schools","J.I. Burton High ",0,"Doctoral Degree"
"Norton City Public Schools","Norton Elementary",49,"Bachelor's Degree"
"Norton City Public Schools","Norton Elementary",46,"Master's Degree"
"Norton City Public Schools","Norton Elementary",0,"Doctoral Degree"
"Nottoway County Public Schools","Blackstone Primary",55,"Bachelor's Degree"
"Nottoway County Public Schools","Blackstone Primary",42,"Master's Degree"
"Nottoway County Public Schools","Blackstone Primary",3,"Doctoral Degree"
"Nottoway County Public Schools","Crewe Primary",44,"Bachelor's Degree"
"Nottoway County Public Schools","Crewe Primary",56,"Master's Degree"
"Nottoway County Public Schools","Crewe Primary",0,"Doctoral Degree"
"Nottoway County Public Schools","Nottoway High",41,"Bachelor's Degree"
"Nottoway County Public Schools","Nottoway High",57,"Master's Degree"
"Nottoway County Public Schools","Nottoway High",0,"Doctoral Degree"
"Nottoway County Public Schools","Nottoway Intermediate",50,"Bachelor's Degree"
"Nottoway County Public Schools","Nottoway Intermediate",47,"Master's Degree"
"Nottoway County Public Schools","Nottoway Intermediate",3,"Doctoral Degree"
"Nottoway County Public Schools","Nottoway Middle",47,"Bachelor's Degree"
"Nottoway County Public Schools","Nottoway Middle",53,"Master's Degree"
"Nottoway County Public Schools","Nottoway Middle",0,"Doctoral Degree"
"Orange County Public Schools","Gordon-Barbour Elementary",61,"Bachelor's Degree"
"Orange County Public Schools","Gordon-Barbour Elementary",36,"Master's Degree"
"Orange County Public Schools","Gordon-Barbour Elementary",0,"Doctoral Degree"
"Orange County Public Schools","Lightfoot Elementary",64,"Bachelor's Degree"
"Orange County Public Schools","Lightfoot Elementary",36,"Master's Degree"
"Orange County Public Schools","Lightfoot Elementary",0,"Doctoral Degree"
"Orange County Public Schools","Locust Grove Elementary",49,"Bachelor's Degree"
"Orange County Public Schools","Locust Grove Elementary",49,"Master's Degree"
"Orange County Public Schools","Locust Grove Elementary",0,"Doctoral Degree"
"Orange County Public Schools","Locust Grove Middle",40,"Bachelor's Degree"
"Orange County Public Schools","Locust Grove Middle",58,"Master's Degree"
"Orange County Public Schools","Locust Grove Middle",0,"Doctoral Degree"
"Orange County Public Schools","Locust Grove Primary",41,"Bachelor's Degree"
"Orange County Public Schools","Locust Grove Primary",56,"Master's Degree"
"Orange County Public Schools","Locust Grove Primary",0,"Doctoral Degree"
"Orange County Public Schools","Orange County High ",47,"Bachelor's Degree"
"Orange County Public Schools","Orange County High ",44,"Master's Degree"
"Orange County Public Schools","Orange County High ",2,"Doctoral Degree"
"Orange County Public Schools","Orange Elementary",43,"Bachelor's Degree"
"Orange County Public Schools","Orange Elementary",28,"Master's Degree"
"Orange County Public Schools","Orange Elementary",0,"Doctoral Degree"
"Orange County Public Schools","Prospect Heights Middle",48,"Bachelor's Degree"
"Orange County Public Schools","Prospect Heights Middle",43,"Master's Degree"
"Orange County Public Schools","Prospect Heights Middle",4,"Doctoral Degree"
"Orange County Public Schools","Unionville Elementary",38,"Bachelor's Degree"
"Orange County Public Schools","Unionville Elementary",58,"Master's Degree"
"Orange County Public Schools","Unionville Elementary",0,"Doctoral Degree"
"Page County Public Schools","Luray Elementary",51,"Bachelor's Degree"
"Page County Public Schools","Luray Elementary",41,"Master's Degree"
"Page County Public Schools","Luray Elementary",3,"Doctoral Degree"
"Page County Public Schools","Luray High",46,"Bachelor's Degree"
"Page County Public Schools","Luray High",44,"Master's Degree"
"Page County Public Schools","Luray High",2,"Doctoral Degree"
"Page County Public Schools","Luray Middle",56,"Bachelor's Degree"
"Page County Public Schools","Luray Middle",44,"Master's Degree"
"Page County Public Schools","Luray Middle",0,"Doctoral Degree"
"Page County Public Schools","Page County High",44,"Bachelor's Degree"
"Page County Public Schools","Page County High",43,"Master's Degree"
"Page County Public Schools","Page County High",2,"Doctoral Degree"
"Page County Public Schools","Page County Middle",59,"Bachelor's Degree"
"Page County Public Schools","Page County Middle",41,"Master's Degree"
"Page County Public Schools","Page County Middle",0,"Doctoral Degree"
"Page County Public Schools","Shenandoah Elementary",59,"Bachelor's Degree"
"Page County Public Schools","Shenandoah Elementary",41,"Master's Degree"
"Page County Public Schools","Shenandoah Elementary",0,"Doctoral Degree"
"Page County Public Schools","Springfield Elementary",35,"Bachelor's Degree"
"Page County Public Schools","Springfield Elementary",65,"Master's Degree"
"Page County Public Schools","Springfield Elementary",0,"Doctoral Degree"
"Page County Public Schools","Stanley Elementary",62,"Bachelor's Degree"
"Page County Public Schools","Stanley Elementary",35,"Master's Degree"
"Page County Public Schools","Stanley Elementary",0,"Doctoral Degree"
"Patrick County Public Schools","Blue Ridge Elementary",62,"Bachelor's Degree"
"Patrick County Public Schools","Blue Ridge Elementary",38,"Master's Degree"
"Patrick County Public Schools","Blue Ridge Elementary",0,"Doctoral Degree"
"Patrick County Public Schools","Hardin Reynolds Memorial School",58,"Bachelor's Degree"
"Patrick County Public Schools","Hardin Reynolds Memorial School",42,"Master's Degree"
"Patrick County Public Schools","Hardin Reynolds Memorial School",0,"Doctoral Degree"
"Patrick County Public Schools","Meadows of Dan Elementary ",67,"Bachelor's Degree"
"Patrick County Public Schools","Meadows of Dan Elementary ",33,"Master's Degree"
"Patrick County Public Schools","Meadows of Dan Elementary ",0,"Doctoral Degree"
"Patrick County Public Schools","Patrick County High",51,"Bachelor's Degree"
"Patrick County Public Schools","Patrick County High",42,"Master's Degree"
"Patrick County Public Schools","Patrick County High",1,"Doctoral Degree"
"Patrick County Public Schools","Patrick Springs Primary",60,"Bachelor's Degree"
"Patrick County Public Schools","Patrick Springs Primary",36,"Master's Degree"
"Patrick County Public Schools","Patrick Springs Primary",0,"Doctoral Degree"
"Patrick County Public Schools","Stuart Elementary",68,"Bachelor's Degree"
"Patrick County Public Schools","Stuart Elementary",30,"Master's Degree"
"Patrick County Public Schools","Stuart Elementary",0,"Doctoral Degree"
"Patrick County Public Schools","Woolwine Elementary",52,"Bachelor's Degree"
"Patrick County Public Schools","Woolwine Elementary",48,"Master's Degree"
"Patrick County Public Schools","Woolwine Elementary",0,"Doctoral Degree"
"Petersburg City Public Schools","Cool Spring Elementary",40,"Bachelor's Degree"
"Petersburg City Public Schools","Cool Spring Elementary",50,"Master's Degree"
"Petersburg City Public Schools","Cool Spring Elementary",5,"Doctoral Degree"
"Petersburg City Public Schools","Lakemont Elementary",45,"Bachelor's Degree"
"Petersburg City Public Schools","Lakemont Elementary",48,"Master's Degree"
"Petersburg City Public Schools","Lakemont Elementary",3,"Doctoral Degree"
"Petersburg City Public Schools","Petersburg High",48,"Bachelor's Degree"
"Petersburg City Public Schools","Petersburg High",41,"Master's Degree"
"Petersburg City Public Schools","Petersburg High",1,"Doctoral Degree"
"Petersburg City Public Schools","Pleasants Lane Elementary",54,"Bachelor's Degree"
"Petersburg City Public Schools","Pleasants Lane Elementary",39,"Master's Degree"
"Petersburg City Public Schools","Pleasants Lane Elementary",2,"Doctoral Degree"
"Petersburg City Public Schools","Vernon Johns Middle",48,"Bachelor's Degree"
"Petersburg City Public Schools","Vernon Johns Middle",48,"Master's Degree"
"Petersburg City Public Schools","Vernon Johns Middle",3,"Doctoral Degree"
"Petersburg City Public Schools","Walnut Hill Elementary",59,"Bachelor's Degree"
"Petersburg City Public Schools","Walnut Hill Elementary",39,"Master's Degree"
"Petersburg City Public Schools","Walnut Hill Elementary",0,"Doctoral Degree"
"Pittsylvania County Public Schools","Brosville Elementary ",48,"Bachelor's Degree"
"Pittsylvania County Public Schools","Brosville Elementary ",52,"Master's Degree"
"Pittsylvania County Public Schools","Brosville Elementary ",0,"Doctoral Degree"
"Pittsylvania County Public Schools","Chatham Elementary",64,"Bachelor's Degree"
"Pittsylvania County Public Schools","Chatham Elementary",28,"Master's Degree"
"Pittsylvania County Public Schools","Chatham Elementary",0,"Doctoral Degree"
"Pittsylvania County Public Schools","Chatham High",56,"Bachelor's Degree"
"Pittsylvania County Public Schools","Chatham High",40,"Master's Degree"
"Pittsylvania County Public Schools","Chatham High",0,"Doctoral Degree"
"Pittsylvania County Public Schools","Chatham Middle",55,"Bachelor's Degree"
"Pittsylvania County Public Schools","Chatham Middle",38,"Master's Degree"
"Pittsylvania County Public Schools","Chatham Middle",0,"Doctoral Degree"
"Pittsylvania County Public Schools","Dan River High",57,"Bachelor's Degree"
"Pittsylvania County Public Schools","Dan River High",41,"Master's Degree"
"Pittsylvania County Public Schools","Dan River High",0,"Doctoral Degree"
"Pittsylvania County Public Schools","Dan River Middle",61,"Bachelor's Degree"
